0
"[-3717.56, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'NetPay'), ('NetPay', 'Well'), ('Porosity', 'Bot'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well')]""]"
"[-6625.66, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Layer', 'Well')]""]"
"[-4777.6, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'NetPay'), ('Top', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-16107.22, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Water Saturation Irreducible')]""]"
"[-4580.17, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('NetPay', 'Porosity')]""]"
"[-4707.83, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-1016.72, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Gross', 'Porosity')]""]"
"[-6317.9, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Well', 'Bot')]""]"
"[-17172.78, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Top')]""]"
"[-1045.57, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Permeability'), ('Gross', 'Well'), ('Saturation', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Bot', 'Water Saturation Irreducible')]""]"
