0
"[-19739.26, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Top', 'Well'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Porosity', 'Well'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'NetPay')]""]"
"[-15141.38, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Well'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Porosity', 'Well'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('NetPay', 'Bot')]""]"
"[-877.96, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('Porosity', 'Well'), ('Porosity', 'Permeability')]""]"
"[-2361.6, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Gross', 'Top')]""]"
"[-16164.35, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Top', 'Gross'), ('Saturation', 'Bot'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Well')]""]"
"[-1519.76, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'NetPay')]""]"
"[-9135.98, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Porosity'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-2562.58, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Layer', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Porosity'), ('Porosity', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-4693.53, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Layer]', ""[('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Top', 'NetPay'), ('Layer', 'NetPay')]""]"
"[-1957.01, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'NetPay'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Top')]""]"
