0
"[-4576.96, '[Layer, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay, Top]', ""[('Layer', 'Well'), ('Gross', 'Top'), ('Saturation', 'NetPay'), ('Porosity', 'Bot'), ('Porosity', 'Permeability'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Water Saturation Irreducible', 'Well'), ('Well', 'Saturation'), ('NetPay', 'Bot'), ('NetPay', 'Permeability')]""]"
"[-1175.96, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'NetPay')]""]"
"[-1568.5, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-1663.92, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-4083.74, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'NetPay'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Permeability'), ('Layer', 'Well')]""]"
"[-1933.64, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Bot'), ('Layer', 'Well'), ('Saturation', 'Porosity'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-1642.21, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible')]""]"
"[-1534.01, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-1259.97, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Gross', 'NetPay'), ('Gross', 'Bot'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Bot', 'Top')]""]"
"[-4553.84, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Gross', 'Well'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Water Saturation Irreducible')]""]"
