0
"[-1043.35, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Well', 'Gross')]""]"
"[-1954.14, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Layer, Water Saturation Irreducible, Permeability]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Layer', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay')]""]"
"[-4571.09, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'NetPay'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Gross', 'Porosity'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Porosity')]""]"
"[-2110.21, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Permeability', 'Bot'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-16655.6, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'NetPay'), ('Saturation', 'Permeability'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-1051.41, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability')]""]"
"[-3746.84, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Permeability'), ('Bot', 'Top'), ('Gross', 'Bot'), ('Saturation', 'Top'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Layer', 'Well')]""]"
"[-1132.46, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Porosity, Water Saturation Irreducible]', ""[('Layer', 'Gross'), ('Layer', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-2219.96, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Bot'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Porosity', 'Permeability'), ('Porosity', 'Gross'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Permeability'), ('Gross', 'Permeability')]""]"
"[-1316.82, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
