0
"[-7838.2, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Layer', 'Saturation'), ('Layer', 'Gross'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Porosity')]""]"
"[-7635.3, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible')]""]"
"[-8389.01, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Top')]""]"
"[-8211.79, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Permeability'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Well', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-8095.98, '[Well, Layer, Top, NetPay, Permeability, Water Saturation Irreducible, Porosity, Saturation, Gross, Bot]', ""[('Well', 'NetPay'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Bot', 'Permeability')]""]"
"[-8054.27, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Well')]""]"
"[-7221.28, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Bot'), ('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8548.24, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross]', ""[('Well', 'Permeability'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-7870.82, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Saturation, Porosity]', ""[('Layer', 'Saturation'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Top')]""]"
"[-7860.43, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'NetPay')]""]"
