0
"[-7575.75, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Layer]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Bot', 'Porosity'), ('Saturation', 'Top'), ('NetPay', 'Porosity'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Permeability')]""]"
"[-7461.16, '[Top, Bot, Gross, NetPay, Porosity, Permeability, Saturation, Well, Water Saturation Irreducible, Layer]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Saturation', 'Well'), ('Layer', 'NetPay')]""]"
"[-7582.69, '[Well, Layer, Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, Saturation, NetPay]', ""[('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
"[-7372.35, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Permeability'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Top', 'Water Saturation Irreducible')]""]"
"[-6993.22, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Porosity')]""]"
"[-7534.56, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'NetPay'), ('Well', 'Porosity'), ('Layer', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('NetPay', 'Porosity'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-7967.3, '[Layer, Top, Saturation, Porosity, Permeability, Water Saturation Irreducible, Gross, Well, NetPay, Bot]', ""[('Layer', 'Permeability'), ('Saturation', 'Gross'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Top'), ('NetPay', 'Top'), ('Bot', 'Porosity')]""]"
"[-7341.49, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Gross]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-7675.59, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7384.68, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Top')]""]"
