0
"[-8107.23, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Saturation', 'Porosity'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Permeability')]""]"
"[-7368.68, '[Well, Layer, Top, Bot, Porosity, Permeability, Water Saturation Irreducible, Gross, NetPay, Saturation]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross')]""]"
"[-7910.81, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible')]""]"
"[-8074.26, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Top]', ""[('Bot', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Gross'), ('Top', 'NetPay')]""]"
"[-7521.6, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Saturation', 'Top'), ('Saturation', 'Porosity'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Permeability')]""]"
"[-7498.83, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Layer', 'Gross'), ('Layer', 'NetPay'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Bot')]""]"
"[-7771.43, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Saturation', 'Gross'), ('NetPay', 'Well'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
"[-7082.32, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Bot'), ('Well', 'Saturation'), ('Well', 'NetPay'), ('Layer', 'Bot'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-7610.81, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-8140.77, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Well'), ('Porosity', 'Gross'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay')]""]"
