0
"[-7710.87, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Gross', 'Bot')]""]"
"[-8565.26, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'NetPay'), ('Layer', 'Permeability'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8128.03, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'Water Saturation Irreducible')]""]"
"[-7489.51, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Bot'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7860.84, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Layer]', ""[('Bot', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Saturation')]""]"
"[-7780.55, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Layer, Permeability]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Saturation')]""]"
"[-7555.58, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Porosity]', ""[('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Top', 'NetPay'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-8010.29, '[Well, Layer, Top, Bot, Saturation, Porosity, Water Saturation Irreducible, NetPay, Permeability, Gross]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Layer', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Gross'), ('Porosity', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Permeability')]""]"
"[-8029.65, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Porosity'), ('Layer', 'Porosity'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Permeability')]""]"
"[-7634.75, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer]', ""[('Well', 'Porosity'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Layer', 'NetPay')]""]"
