0
"[-7059.87, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Top', 'Bot')]""]"
"[-7406.87, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'NetPay'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('NetPay', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Gross')]""]"
"[-8107.02, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8067.49, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Saturation'), ('Well', 'Water Saturation Irreducible')]""]"
"[-7345.29, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Layer', 'Saturation')]""]"
"[-7483.95, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer]', ""[('Well', 'Top'), ('Bot', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Layer', 'Gross')]""]"
"[-7671.26, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7888.86, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Gross, Permeability]', ""[('Well', 'Saturation'), ('Layer', 'Gross'), ('Layer', 'Permeability'), ('Top', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Gross', 'Bot')]""]"
"[-7777.73, '[Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Layer, Saturation]', ""[('Gross', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('Saturation', 'Layer')]""]"
"[-7993.72, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Well, Porosity]', ""[('Layer', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'NetPay')]""]"
