0
"[-8020.27, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Gross]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Gross'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Top')]""]"
"[-7828.14, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-6678.44, '[Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Well, Bot]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Porosity'), ('Well', 'Bot'), ('Bot', 'Porosity')]""]"
"[-7434.17, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Well', 'Porosity'), ('Layer', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Porosity'), ('Bot', 'Porosity')]""]"
"[-7563.37, '[Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Gross, Saturation]', ""[('Layer', 'Permeability'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well')]""]"
"[-7250.09, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Bot'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Gross'), ('NetPay', 'Porosity'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Bot')]""]"
"[-7288.45, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Layer', 'Bot'), ('Layer', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Top'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Top', 'Water Saturation Irreducible')]""]"
"[-6481.66, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'Bot')]""]"
"[-7875.23, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Permeability'), ('Layer', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Bot'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8493.29, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Porosity'), ('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'NetPay')]""]"
