0
"[-7427.5, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Layer', 'Top'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-7977.11, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Top]', ""[('Well', 'Porosity'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'NetPay'), ('Top', 'Permeability')]""]"
"[-6318.03, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well')]""]"
"[-7884.18, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Top]', ""[('Well', 'Porosity'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top')]""]"
"[-7611.3, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Saturation', 'Layer'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-7614.1, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'NetPay'), ('Well', 'Saturation'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'NetPay')]""]"
"[-8188.83, '[Well, Layer, Top, Gross, Saturation, Permeability, Water Saturation Irreducible, Porosity, NetPay, Bot]', ""[('Well', 'Gross'), ('Layer', 'Gross'), ('Top', 'Permeability'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Gross'), ('NetPay', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'NetPay')]""]"
"[-7749.29, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Permeability')]""]"
"[-8054.39, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Gross'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
"[-7537.73, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
