0
"[-7011.37, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top')]""]"
"[-7573.44, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Layer', 'Top'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('Porosity', 'Well'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7613.36, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation]', ""[('Layer', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Gross')]""]"
"[-7963.67, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'NetPay'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Permeability', 'Gross')]""]"
"[-7841.95, '[Well, Top, Bot, Gross, Porosity, Water Saturation Irreducible, NetPay, Layer, Saturation, Permeability]', ""[('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('Permeability', 'NetPay')]""]"
"[-7983.65, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Layer', 'Gross')]""]"
"[-7733.03, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Gross]', ""[('Layer', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('Porosity', 'NetPay'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Permeability')]""]"
"[-7653.12, '[Well, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Layer]', ""[('Well', 'Top'), ('Top', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7960.74, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'NetPay')]""]"
"[-7966.76, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Gross')]""]"
