0
"[-6601.35, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Layer', 'Gross'), ('Top', 'NetPay'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-7385.59, '[Well, Layer, Top, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Permeability, Bot]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Gross', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Bot'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-8095.72, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8684.05, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('NetPay', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Layer', 'Gross'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7455.48, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Top', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7587.88, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Top, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Permeability', 'Top'), ('Top', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8424.43, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('NetPay', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7937.7, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Bot, Permeability]', ""[('Layer', 'Bot'), ('Top', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Permeability', 'Well')]""]"
"[-7646.82, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'NetPay')]""]"
"[-8151.8, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Bot]', ""[('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Permeability'), ('NetPay', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'NetPay'), ('Bot', 'Porosity')]""]"
