0
"[-8048.33, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Top]', ""[('Well', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Top', 'NetPay')]""]"
"[-7602.12, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Bot', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7588.13, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Bot]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Layer', 'Porosity'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Bot', 'Porosity')]""]"
"[-6891.72, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7777.9, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Top', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity')]""]"
"[-7396.11, '[Well, Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, Porosity, NetPay]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Porosity', 'Permeability'), ('NetPay', 'Bot')]""]"
"[-7475.72, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Saturation'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Porosity')]""]"
"[-7899.45, '[Well, Layer, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Bot]', ""[('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'Gross'), ('Bot', 'Porosity')]""]"
"[-7898.44, '[Well, Layer, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Bot, Porosity, Top]', ""[('Well', 'Saturation'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity'), ('Porosity', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Top', 'Porosity')]""]"
"[-7706.36, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Bot'), ('Bot', 'Porosity')]""]"
