0
"[-7899.61, '[Well, Layer, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Top]', ""[('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Bot', 'Porosity'), ('Top', 'Gross')]""]"
"[-7618.27, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross]', ""[('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'NetPay')]""]"
"[-8250.83, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'Porosity'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-6943.84, '[Well, Layer, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Gross]', ""[('Top', 'Bot'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Gross'), ('Gross', 'Well'), ('Gross', 'NetPay')]""]"
"[-7740.15, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Bot'), ('Layer', 'Bot'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Top', 'Water Saturation Irreducible')]""]"
"[-7918.36, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-8295.42, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Saturation'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7334.36, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7768.57, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Gross', 'Permeability'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Bot'), ('Bot', 'Porosity')]""]"
"[-7656.56, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Saturation')]""]"
