0
"[-7140.02, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Bot'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8015.65, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7732.05, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8134.54, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Gross, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Saturation', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Permeability', 'Gross')]""]"
"[-8096.58, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Permeability'), ('Layer', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Top', 'NetPay'), ('Top', 'Porosity')]""]"
"[-7790.95, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Top', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Bot')]""]"
"[-7850.39, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Permeability, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Gross')]""]"
"[-7840.56, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Porosity, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-7397.27, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Porosity]', ""[('Well', 'Bot'), ('Layer', 'Bot'), ('Layer', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Porosity'), ('Permeability', 'NetPay'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Porosity', 'Bot')]""]"
"[-7886.85, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Porosity')]""]"
