0
"[-6733.55, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Well', 'Porosity'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7858.6, '[Well, Layer, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Top]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Top', 'Water Saturation Irreducible')]""]"
"[-7443.43, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Top', 'NetPay'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Bot'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7383.9, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'Permeability')]""]"
"[-7131.09, '[Well, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Top, Layer]', ""[('Bot', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'Water Saturation Irreducible'), ('Top', 'Water Saturation Irreducible'), ('Layer', 'Well')]""]"
"[-7337.26, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Well')]""]"
"[-8586.74, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'NetPay'), ('Gross', 'Well'), ('Gross', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Gross')]""]"
"[-7088.15, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Top', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Gross', 'NetPay')]""]"
"[-8025.09, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'NetPay'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Well'), ('Water Saturation Irreducible', 'Well'), ('Layer', 'Gross'), ('Layer', 'Permeability')]""]"
"[-7159.47, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Gross', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Permeability', 'Top')]""]"
