0
"[-7097.72, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-7940.08, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Top')]""]"
"[-7566.78, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Top]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'NetPay'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Saturation'), ('Well', 'Top')]""]"
"[-7508.27, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Layer', 'Top'), ('Top', 'NetPay'), ('Saturation', 'NetPay'), ('Porosity', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-7572.33, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Permeability', 'Top'), ('Permeability', 'Gross')]""]"
"[-6980.88, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Layer', 'Well'), ('Layer', 'Saturation'), ('Bot', 'Well'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'NetPay')]""]"
"[-8215.25, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Bot, Permeability]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Gross', 'Bot'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Bot', 'NetPay')]""]"
"[-7412.92, '[Well, Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Porosity]', ""[('Well', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('NetPay', 'Bot')]""]"
"[-7253.47, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, NetPay]', ""[('Well', 'Top'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Layer', 'Top'), ('Layer', 'Permeability'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-7660.31, '[Well, Layer, Top, Bot, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay, Gross]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Gross', 'Porosity')]""]"
