0
"[-8082.25, '[Well, Layer, Gross, NetPay, Porosity, Water Saturation Irreducible, Top, Permeability, Bot, Saturation]', ""[('Well', 'Porosity'), ('Well', 'Saturation'), ('Layer', 'Porosity'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Top', 'NetPay'), ('Permeability', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-6687.06, '[Well, Layer, Top, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, Bot, NetPay]', ""[('Well', 'NetPay'), ('Layer', 'Bot'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-6812.82, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7592.12, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7813.22, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Bot')]""]"
"[-7953.78, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Saturation]', ""[('Well', 'Porosity'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Permeability')]""]"
"[-7845.23, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Layer', 'Saturation')]""]"
"[-7811.38, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Gross]', ""[('Well', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'NetPay'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-7610.48, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Layer, Gross, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Layer', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7294.82, '[Well, Layer, Gross, Porosity, Water Saturation Irreducible, Top, Permeability, Bot, Saturation, NetPay]', ""[('Well', 'Bot'), ('Layer', 'Permeability'), ('Layer', 'Bot'), ('Gross', 'Permeability'), ('Porosity', 'Gross'), ('Top', 'Bot'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('Saturation', 'NetPay')]""]"
