0
"[-8470.17, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Bot]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-8754.66, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Well, Permeability]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Well')]""]"
"[-8135.93, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('NetPay', 'Permeability'), ('NetPay', 'Porosity'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Well'), ('Porosity', 'Well'), ('Porosity', 'Gross')]""]"
"[-7907.34, '[Well, Layer, Bot, Saturation, NetPay, Water Saturation Irreducible, Porosity, Top, Permeability, Gross]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Bot', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'NetPay'), ('Saturation', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Permeability')]""]"
"[-7007.17, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Well', 'Saturation')]""]"
"[-7731.82, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay]', ""[('Layer', 'Top'), ('Layer', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-8193.58, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7581.07, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Permeability', 'NetPay')]""]"
"[-8076.75, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('NetPay', 'Well'), ('Water Saturation Irreducible', 'Bot'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible')]""]"
"[-7268.47, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Bot'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Saturation')]""]"
