0
"[-7046.91, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Top'), ('Layer', 'Saturation'), ('Gross', 'NetPay'), ('Gross', 'Bot'), ('Saturation', 'NetPay'), ('NetPay', 'Permeability'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-8556.62, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Permeability]', ""[('Well', 'NetPay'), ('Layer', 'Permeability'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Permeability')]""]"
"[-7549.96, '[Layer, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well, Bot]', ""[('Layer', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Top', 'Porosity'), ('Well', 'Saturation'), ('Bot', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-6819.12, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Layer', 'NetPay'), ('Top', 'Gross'), ('Top', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7828.93, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Porosity'), ('Top', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8035.77, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Porosity'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Bot', 'Porosity')]""]"
"[-8131.24, '[Well, Layer, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Bot]', ""[('Well', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Gross'), ('NetPay', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Porosity')]""]"
"[-7719.55, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Permeability')]""]"
"[-8105.6, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Gross'), ('Layer', 'Saturation'), ('Top', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Porosity')]""]"
"[-7618.11, '[Well, Layer, Top, Gross, Saturation, Porosity, Permeability, NetPay, Bot, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Saturation', 'Porosity'), ('Porosity', 'Top'), ('Permeability', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Bot', 'NetPay')]""]"
