0
"[-7462.47, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Gross', 'Well'), ('Gross', 'Top'), ('Gross', 'NetPay')]""]"
"[-8004.89, '[Well, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Bot]', ""[('Well', 'Saturation'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Layer', 'Gross'), ('Layer', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Porosity')]""]"
"[-8020.42, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Porosity'), ('Top', 'Water Saturation Irreducible')]""]"
"[-7621.87, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Permeability')]""]"
"[-8395.95, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Porosity')]""]"
"[-8169.65, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'NetPay'), ('Top', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Top'), ('Saturation', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'NetPay')]""]"
"[-7961.92, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Porosity'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'NetPay')]""]"
"[-7822.18, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7703.44, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Saturation')]""]"
"[-8037.12, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Saturation'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity')]""]"
