0
"[-7436.36, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Top')]""]"
"[-6992.63, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Layer]', ""[('Top', 'Bot'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Bot'), ('Saturation', 'Porosity'), ('NetPay', 'Permeability'), ('Layer', 'Bot'), ('Layer', 'Gross')]""]"
"[-7810.24, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability')]""]"
"[-7939.31, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Top')]""]"
"[-7924.6, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Porosity'), ('Layer', 'Porosity'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-8129.82, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Bot]', ""[('Well', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Bot', 'Porosity')]""]"
"[-6741.77, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Layer', 'Well'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Gross'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Well'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7658.38, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Top', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Bot', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-7188.52, '[Layer, Gross, NetPay, Porosity, Permeability, Top, Well, Bot, Saturation, Water Saturation Irreducible]', ""[('Layer', 'Permeability'), ('Layer', 'Saturation'), ('Gross', 'NetPay'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7978.05, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Layer]', ""[('Well', 'Top'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Gross')]""]"
