0
"[-6560.01, '[Tectonic regime, Period, Lithology, Structural setting, Netpay, Porosity, Depth, Gross, Permeability]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Porosity', 'Depth'), ('Gross', 'Netpay')]""]"
"[-6561.94, '[Tectonic regime, Period, Lithology, Structural setting, Porosity, Permeability, Depth, Netpay, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Period'), ('Porosity', 'Depth'), ('Gross', 'Netpay')]""]"
"[-6517.88, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Lithology, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Lithology', 'Permeability')]""]"
"[-6531.99, '[Tectonic regime, Period, Structural setting, Netpay, Porosity, Permeability, Depth, Lithology, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Porosity', 'Permeability'), ('Lithology', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6561.94, '[Period, Lithology, Structural setting, Gross, Porosity, Permeability, Depth, Netpay, Tectonic regime]', ""[('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6525.68, '[Tectonic regime, Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6503.98, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime]', ""[('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6508.36, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Porosity'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Lithology', 'Permeability')]""]"
"[-6560.01, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime]', ""[('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6561.94, '[Tectonic regime, Period, Lithology, Porosity, Permeability, Depth, Structural setting, Gross, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Porosity', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay')]""]"
"[-6560.01, '[Tectonic regime, Lithology, Structural setting, Porosity, Depth, Period, Netpay, Permeability, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Porosity', 'Depth'), ('Gross', 'Netpay')]""]"
"[-6560.01, '[Lithology, Structural setting, Gross, Porosity, Netpay, Tectonic regime, Depth, Period, Permeability]', ""[('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6561.94, '[Tectonic regime, Period, Structural setting, Netpay, Permeability, Depth, Lithology, Porosity, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Structural setting', 'Period'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Porosity', 'Depth'), ('Gross', 'Netpay')]""]"
"[-6560.01, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Depth, Permeability, Tectonic regime]', ""[('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6560.01, '[Tectonic regime, Period, Lithology, Structural setting, Gross, Netpay, Permeability, Depth, Porosity]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth')]""]"
"[-6552.94, '[Tectonic regime, Period, Lithology, Structural setting, Gross, Netpay, Porosity, Depth, Permeability]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Lithology', 'Permeability'), ('Gross', 'Netpay'), ('Porosity', 'Depth')]""]"
"[-6560.01, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Porosity, Depth, Permeability, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth')]""]"
"[-6508.36, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Permeability, Depth, Lithology, Porosity]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Porosity'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Lithology', 'Permeability')]""]"
"[-6561.94, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime]', ""[('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
